gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CSRP1,1465,oligodendrocyte,++++,scattered+oligodendrocyte,scattered+oligodendrocyte
CST3,1471,astrocyte,+++++,scattered+glial,scattered+glial
CSTB,1476,NA,++,ubiquitous,ubiquitous
CCN2,1490,layer 6,+++++,layer 6(b)+scattered,layer 6(b)+scattered
CTNNB1,1499,NA,+++,"layer 2/3,4C,5/6","ubiquitous(3d,4)"
CTNND2,1501,NA,+++,ubiquitous,ubiquitous
CTSB,1508,NA,+++++,scattered+ubiquitous,scattered+ubiquitous
CUX1,1523,NA,++++,"layer 2/3,4,6","layer 2/3,6"
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 2,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 3,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CUX2,23316,layer 4,++++,"layer 2/3,4",layer 2/3(4)
CXCL12,6387,NA,-,none,none
